Question,Sous-question,Réponse correcte,Points,Explication
Q1,Avantage 1,Peu encombrant,1,"D'après le texte de présentation"
Q1,Avantage 2,Léger,1,"D'après le texte de présentation"
Q1,Avantage 3,Peu polluant OU Pratique pour se déplacer,1,"D'après le texte de présentation (accepter l'un ou l'autre)"
Q1,Inconvénient,Source de nombreux accidents,1,"D'après le texte de présentation"
Q2,Avertir - Solution technique,Avertisseur sonore,1,"Visible sur le schéma Document 2"
Q2,Avancer - Solution 1,Roue avec moteur intégré,1,"Visible sur le schéma Document 2"
Q2,Avancer - Solution 2,Gâchette d'accélération,1,"Visible sur le schéma Document 2"
Q2,Avancer - Solution 3,Batterie OU Moteur,1,"Visible sur le schéma Document 2"
Q2,Éclairer - Solution 1,Éclairage LED avant,1,"Visible sur le schéma Document 2"
Q2,Éclairer - Solution 2,Éclairage LED arrière OU Bouton commande d'éclairage,1,"Visible sur le schéma Document 2"
Q2,Fonction de la Batterie,Stocker l'énergie OU Alimenter OU Fournir l'énergie,1,"Fonction technique de la batterie"
Q3,Freiner - Règlement,OUI (coché),0.67,"Règle 8 : Un système de freinage est obligatoire"
Q3,Avertir - Règlement,OUI (coché),0.67,"Règle 7 : L'avertisseur sonore est obligatoire"
Q3,Avancer - Règlement,NON (pas coché),0.67,"Aucune règle du Document 1 ne concerne la fonction avancer"
Q3,Éclairer - Règlement,OUI (coché),0.67,"Règle 4 : Les feux avant et arrière sont obligatoires"
Q3,Batterie - Règlement,NON (pas coché),0.67,"Aucune règle du Document 1 ne mentionne spécifiquement la batterie"
Q3,Vitesse - Règlement,OUI (coché),0.67,"Règle 3 : La vitesse maximale autorisée est de 25 km/h"
Q4,Box1 (branche NON),Autoriser l'accélération,1,"Quand il n'y a pas de freinage, on autorise l'accélération"
Q4,Box2 (première action freinage),Allumer éclairage LED arrière 0,2 secondes,1,"Pour faire clignoter le feu pendant le freinage"
Q4,Box3 (deuxième action freinage),Éteindre éclairage LED arrière 0,2 secondes,1,"Pour faire clignoter le feu pendant le freinage"
Q4,Diamond (losange de condition),Éclairage demandé ?,1,"Condition pour savoir si on doit allumer ou éteindre le feu après freinage"
Q4,Réponse1 (vers Allumer),OUI,1,"Si l'éclairage est demandé, on allume le feu"
Q4,Réponse2 (vers Éteindre),NON,1,"Si l'éclairage n'est pas demandé, on éteint le feu"
Q5,Bloc 'Autoriser l'accélération',C,1,"Position C : dans la branche sinon, avant la condition d'éclairage"
Q5,Bloc 'Gâchette de freinage = 1',A,1,"Position A : condition principale (si...alors)"
Q5,Bloc 'bouton d'éclairage = 1',D,1,"Position D : condition secondaire dans la branche sinon"
Q5,Bloc 'Ne pas autoriser l'accélération',B,1,"Position B : première action dans la branche alors du freinage"
TOTAL,,,"25 points","Note sur 25 points"